domain,ranking,mld_res,mld.ps_res,card_rem,ratio_Rrem,ratio_Arem,jaccard_RR,jaccard_RA,jaccard_AR,jaccard_AA,jaccard_ARrd,jaccard_ARrem,label
stthomasedu.ucoz.ua/microsoft.htm,10000000,1,1,2,150.5,153,0,0.003195,0,0.003226,0.625,0.839394,1
www.procedimentotamfidelidade.com/regulamento/new/processo/atualiza/sacfidelidade/id=1714/,10000000,0,0,8,113.375,117,0,0,0,0,0,0.765326,1
paypal.com.us.cgi.bin.webscr.cmd.login.submit.bx3digitallp.com/Review/3a3e3c4dba5e5cc4407a5694adf1aa8e/,10000000,0,0,9,175,173.888889,0,0,0,0,0,0.77101,1
tinyurl.com/bswqloj,656,1,1,1,0,0,0,0,0,0,0.44,0,1
users11.jabry.com/blopp/Aolupdate.htm,56829,0,0,4,55,39.25,0,0,0,0,0,0.557851,1
tad.ly/BUpQLx,10000000,1,0,1,0,0,0,0,0,0,0.571429,0,1
professionalcrapsplayer.com/upgrade/logins/Trulia/index.htm,10000000,0,0,5,33.6,31.4,0,0,0,0,0,0.692708,1
westerncentermuseum.org/plugins/tmp/sp.php,10000000,0,0,3,162.333333,166.666667,0,0,0,0,0,0.848315,1
cardpromocion2012.com.br/vaidevisa/asp/conta/participe/autentica/autentica.php,10000000,0,0,7,98.714286,98.285714,0,0,0,0,0,0.807339,1
www.kateconnick.com/postcard.html,10000000,0,0,2,141.5,140.5,0,0,0,0,0,0.843137,0
www.petsinpastel.com/post.htm,10000000,0,0,2,91.5,97,0,0,0,0,0,0.611111,0
www.sojourneys.net/Horsenotes.html,10000000,0,0,3,133.666667,135.666667,0,0,0,0,0,0.783664,0
www.angelfire.com/pa3/horsesfancythat/postcard.html,2547,1,1,5,89,87.8,0.004301,0.004357,0.004376,0.004435,0.636364,0.789474,0
www.furallover.com/cardindex.asp,10000000,0,0,3,174.333333,178.333333,0,0,0,0,0,0.714749,0
www.hdw-inc.com/postcard/send.html,10000000,0,0,3,103,100.333333,0,0,0,0,0,0.8429,0
www.birdcrossstitch.com/cards/BirdsandWildlife.html,10000000,0,0,4,156,161.25,0,0,0,0,0,0.772346,0
www.amha.com/amha/postcards/,10000000,1,0,2,23.5,13.5,0.361702,0.257143,0.191489,0.333333,0.529412,0.510204,0
www.house-mouse.com/cgi-bin/eekmail.cgi?,10000000,1,0,4,218.25,210,0,0,0,0,0.5,0.832086,0
www.places.co.za/cgi-bin/places/photos/photos.cgi,192733,1,0,4,59.25,62.75,0.067511,0.055336,0.058824,0.059761,0.823529,0.706294,0
derekdelintfansite.com/fans/dcards/index.html,10000000,0,0,4,121.75,121.75,0,0,0,0,0,0.777372,0
www.spacesurfer.com/wceleb/list/,10000000,0,0,2,179,202.5,0,0,0,0,0,0.726244,0
www.starteasy.com/topgreetings/,10000000,0,0,2,143.5,150,0,0,0,0,0,0.757485,0
www.webring.com/hub?ring=artistsownecards,8419,1,0,5,34.4,31.4,0.01087,0.005882,0,0,0.714286,0.62069,0
www.search-south.com/Cardsulike/,10000000,0,0,2,37,40,0,0,0,0,0,0.655914,0
www.webring.com/webring?ring=hugring;list,8419,1,0,4,105,119.5,0.033333,0.022869,0.02381,0.020921,0.714286,0.717017,0
members.tripod.com/~Boretti/postcards.htm,1267,1,1,3,20.333333,13.333333,0,0,0,0,0.681818,0.603175,0
www.stonecarver.com/postcard.html,10000000,0,0,2,141.5,140.5,0,0,0,0,0,0.843137,0
www.footlightsdesign.com/ecards.cfm,10000000,0,0,2,23.5,17.5,0,0,0,0,0,0.607843,0
www.telusplanet.net/public/craiggy/electronic-cards/index.html,283756,1,1,6,109,111.666667,0,0,0,0,0.428571,0.77957,0
www.pipeline.com/~kgarrison,10000000,1,1,1,13,11,0.029412,0.03125,0.037037,0.04,0.681818,0.6,0
www.angelfire.com/biz6/knightlyart/emails.html,2547,1,1,5,111.2,112,0,0,0,0,0.636364,0.788462,0
www.elibron.com/english/arts/cards.phtml,10000000,1,0,4,91.25,96.5,0,0,0,0,0.5,0.746512,0
www.sea-priestess.com/ecards-e.htm,10000000,0,0,2,20.5,15,0,0,0,0,0,0.577778,0
www.urban-angels.de/ecards.html,10000000,0,0,2,142.5,142.5,0,0,0,0,0,0.83871,0
www.taschen.com/pages/en/ecards/start/index.htm,59633,1,0,5,54.8,49.4,0.00346,0.003817,0.003497,0.003861,0.705882,0.628125,0
www.digitaldrawn.nl/indexa.html,10000000,0,0,2,179,181.5,0,0,0,0,0,0.811558,0
www.aetiket.com/ecard/,10000000,0,0,1,18,11,0,0,0,0,0,0.526316,0
www.angelfire.com/de/animaldance/open.html,2547,1,1,4,181.25,192.25,0.004032,0.005083,0.004076,0.005135,0.636364,0.776457,0
www.thundercloud.net/acpressions/,358434,1,0,1,14,13,0,0,0,0,0.769231,0.6875,0
teleline.terra.es/personal/emilyjc/intro.html,4361,1,1,4,98,93.25,0.002268,0.00237,0.002381,0.002494,0.54902,0.783217,0
www.angelfire.com/ga/sweetgeorgiapeach/icq.html,2547,1,1,5,91.6,90.2,0.002088,0.002119,0.002123,0.002155,0.636364,0.818,0
www.link4u.com/cardlobby/,10000000,1,0,2,197.5,204.5,0,0.002415,0,0.002421,0.833333,0.732759,0
www.citycyber.com/ecard,10000000,0,0,1,18,11,0,0,0,0,0,0.526316,0
bellsouthpwp.net/k/y/kyangel2/,367199,0,0,1,0,0,0,0,0,0,0,0,0
www.angelfire.com/nv/huntress/index.html,2547,1,1,3,123.333333,124.333333,0.007712,0.007653,0.007874,0.007813,0.636364,0.812195,0
www.time4me.com/icq/main.htm,10000000,0,0,3,27,24.333333,0,0,0,0,0,0.604167,0
www.jarusa.com/nature/,497026,0,0,1,39,33,0,0,0,0,0,0.674419,0
www.virtualgravy.com/cardindex.htm,10000000,0,0,3,162.333333,167,0,0,0,0,0,0.727273,0
www.things-to-say.com/index.html,510332,0,0,2,179,181.5,0,0,0,0,0,0.811558,0
www.angelfire.com/ny2/jamnbabe/index.html,2547,1,1,4,124.5,119.5,0.005803,0.006036,0.005894,0.006135,0.636364,0.742857,0
www.angelfire.com/ny2/jamnbabe/index2.html,2547,1,1,4,124.5,119.5,0.005803,0.006036,0.005894,0.006135,0.636364,0.742857,0
www.geocities.com/sunkissedoz/,9506,1,1,1,12,9,0,0,0,0,0.56,0.5,0
www.cinesouth.com/ecards/,528697,1,1,1,20,17,0,0,0,0,0.538462,0.541667,0
www.tvdance.com/dancecard/,10000000,0,0,2,261.5,276,0,0,0,0,0,0.75367,0
www.hereandthere.org/cards/index.shtml,10000000,0,0,3,68.333333,68,0,0,0,0,0,0.690083,0
www.lamecards.com/index.html,10000000,0,0,2,179,181.5,0,0,0,0,0,0.811558,0
egomania.nu/postcard/index.html,10000000,1,0,3,125.333333,125.333333,0,0,0,0,0,0.807692,0
www.unionoflove.com/cards,10000000,0,0,1,102,101,0,0,0,0,0,0.650407,0
www.lhj.com/home/Free-Love-E-cards.html,16798,1,1,5,630.2,666.4,0.000317,0.000899,0.000317,0.0009,0.444444,0.839149,0
www.scena.org/icard/icard.asp,654623,1,0,2,215,220,0,0.002217,0,0.002237,0.666667,0.715976,0
